time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0550,-33.75,-32.03,STATIONARY
65,-0.0513,-37.14,-35.48,STATIONARY
131,-0.0623,-41.25,-39.37,STATIONARY
197,-0.0692,-45.81,-43.72,STATIONARY
263,-0.0585,-49.67,-47.74,STATIONARY
329,-0.0544,-53.26,-51.46,DOWN
395,-0.0588,-57.14,-55.30,DOWN
461,-0.0454,-60.14,-58.57,DOWN
527,-0.0524,-63.60,-61.96,DOWN
593,-0.0701,-68.23,-66.19,DOWN
659,-0.0607,-72.23,-70.27,DOWN
725,-0.0532,-75.74,-73.96,DOWN
791,-0.0459,-78.78,-77.21,DOWN
857,-0.0688,-83.31,-81.33,DOWN
923,-0.0609,-87.33,-85.38,DOWN
989,-0.0499,-90.63,-88.92,DOWN
1055,-0.0505,-93.96,-92.32,DOWN
1122,-0.0555,-97.63,-95.90,DOWN
1187,-0.0642,-101.86,-99.92,DOWN
1253,-0.0422,-104.65,-103.11,DOWN
1319,-0.0550,-108.28,-106.60,DOWN
1385,-0.0502,-111.59,-109.97,DOWN
1451,-0.0660,-115.95,-114.00,DOWN
1517,-0.0463,-119.00,-117.38,DOWN
1583,-0.0554,-122.66,-120.94,DOWN
1649,-0.0559,-126.35,-124.59,DOWN
1715,-0.0400,-128.99,-127.56,DOWN
1782,-0.0446,-131.93,-130.51,DOWN
1848,-0.0516,-135.34,-133.77,DOWN
1913,-0.0498,-138.62,-137.04,DOWN
1979,-0.0524,-142.08,-140.44,DOWN
2045,-0.0522,-145.53,-143.87,DOWN
2111,-0.0521,-148.97,-147.31,DOWN
2177,-0.0485,-152.17,-150.59,DOWN
2243,-0.0569,-155.93,-154.19,DOWN
2309,-0.0568,-159.68,-157.89,DOWN
2375,-0.0501,-162.98,-161.33,DOWN
2441,-0.0425,-165.79,-164.34,DOWN
2507,-0.0541,-169.36,-167.73,DOWN
2573,-0.0313,-171.43,-170.23,DOWN
2639,-0.0525,-174.89,-173.37,DOWN
2705,-0.0478,-178.04,-176.52,DOWN
2771,-0.0349,-180.35,-179.10,DOWN
2837,-0.0415,-183.09,-181.79,DOWN
2903,-0.0581,-186.92,-185.25,DOWN
2969,-0.0442,-189.84,-188.35,DOWN
