time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0029,0.0000,50.73,50.73,STATIONARY
65,0.0322,0.0000,50.73,50.73,STATIONARY
131,-0.0255,0.0000,50.73,50.73,STATIONARY
197,-0.0444,0.0000,50.73,50.73,STATIONARY
263,0.0308,0.0000,50.73,50.73,STATIONARY
329,0.0368,0.0000,50.73,50.73,STATIONARY
395,0.0499,0.0000,50.73,50.73,STATIONARY
461,-0.0051,0.0000,50.73,50.73,STATIONARY
527,-0.0068,0.0000,50.73,50.73,STATIONARY
593,-0.0021,0.0000,50.73,50.73,STATIONARY
659,0.0189,0.0000,50.73,50.73,STATIONARY
725,0.0306,0.0000,50.73,50.73,STATIONARY
791,0.0041,0.0000,50.73,50.73,STATIONARY
857,0.0231,0.0000,50.73,50.73,STATIONARY
923,0.0194,0.0000,50.73,50.73,STATIONARY
989,0.0001,0.0000,50.73,50.73,STATIONARY
1055,-0.0003,0.0000,50.73,50.73,STATIONARY
1121,0.0269,0.0000,50.73,50.73,STATIONARY
1187,0.0082,0.0000,50.73,50.73,STATIONARY
1253,0.0041,0.0000,50.73,50.73,STATIONARY
1319,-0.0059,0.0000,50.73,50.73,STATIONARY
1385,0.0222,0.0000,50.73,50.73,STATIONARY
1451,0.0159,0.0000,50.73,50.73,STATIONARY
1517,-0.0059,0.0000,50.73,50.73,STATIONARY
1583,0.0311,0.0000,50.73,50.73,STATIONARY
1649,0.0173,0.0000,50.73,50.73,STATIONARY
1715,0.0021,0.0000,50.73,50.73,STATIONARY
1781,0.0031,0.0000,50.73,50.73,STATIONARY
1847,0.0244,0.0000,50.73,50.73,STATIONARY
1913,0.0059,0.0000,50.73,50.73,STATIONARY
1979,-0.0230,0.0000,50.73,50.73,STATIONARY
2045,0.0766,0.0000,50.73,50.73,STATIONARY
2111,-0.0270,0.0000,50.73,50.73,STATIONARY
2177,0.0208,0.0000,50.73,50.73,STATIONARY
2243,-0.0159,0.0000,50.73,50.73,STATIONARY
2309,0.0270,0.0000,50.73,50.73,STATIONARY
2375,-0.0074,0.0000,50.73,50.73,STATIONARY
2441,0.0248,0.0000,50.73,50.73,STATIONARY
2507,-0.0116,0.0000,50.73,50.73,STATIONARY
2573,0.0040,0.0000,50.73,50.73,STATIONARY
2639,0.0170,0.0000,50.73,50.73,STATIONARY
2705,0.0017,0.0000,50.73,50.73,STATIONARY
2771,0.0040,0.0000,50.73,50.73,STATIONARY
2837,0.0054,0.0000,50.73,50.73,STATIONARY
2903,0.0002,0.0000,50.73,50.73,STATIONARY
2969,-0.0004,0.0000,50.73,50.73,STATIONARY
3035,-0.0053,0.0000,50.73,50.73,STATIONARY
3101,0.0069,0.0000,50.73,50.73,STATIONARY
3167,0.0038,0.0000,50.73,50.73,STATIONARY
3233,0.0031,0.0000,50.73,50.73,STATIONARY
3299,0.0112,0.0000,50.73,50.73,STATIONARY
3365,0.0189,0.0000,50.73,50.73,STATIONARY
3432,-0.0015,0.0000,50.73,50.73,STATIONARY
3497,-0.0084,0.0000,50.73,50.73,STATIONARY
3563,-0.0054,0.0000,50.73,50.73,STATIONARY
3629,0.0046,0.0000,50.73,50.73,STATIONARY
3695,0.0043,0.0000,50.73,50.73,STATIONARY
3761,0.0139,0.0000,50.73,50.73,STATIONARY
3827,0.0008,0.0000,50.73,50.73,STATIONARY
3893,0.0120,0.0000,50.73,50.73,STATIONARY
3959,0.0330,0.0000,50.73,50.73,STATIONARY
4025,-0.0025,0.0000,50.73,50.73,STATIONARY
4091,0.0179,0.0000,50.73,50.73,STATIONARY
4157,0.0108,0.0000,50.73,50.73,STATIONARY
4223,-0.0041,0.0000,50.73,50.73,STATIONARY
4289,0.0246,0.0000,50.73,50.73,STATIONARY
4355,0.0152,0.0000,50.73,50.73,STATIONARY
4421,0.0059,0.0000,50.73,50.73,STATIONARY
4487,0.0202,0.0000,50.73,50.73,STATIONARY
4553,0.0048,0.0000,50.73,50.73,STATIONARY
4619,0.0098,0.0000,50.73,50.73,STATIONARY
4685,0.0045,0.0000,50.73,50.73,STATIONARY
4751,0.0059,0.0000,50.73,50.73,STATIONARY
4817,-0.0025,0.0000,50.73,50.73,STATIONARY
4883,0.0255,0.0000,50.73,50.73,STATIONARY
4949,0.0343,0.0000,50.73,50.73,STATIONARY
5015,-0.0324,0.0000,50.73,50.73,STATIONARY
5081,-0.0234,0.0000,50.73,50.73,STATIONARY
5147,0.0341,0.0000,50.73,50.73,STATIONARY
5213,-0.0040,0.0000,50.73,50.73,STATIONARY
5279,-0.0055,0.0000,50.73,50.73,STATIONARY
5345,-0.0002,0.0000,50.73,50.73,STATIONARY
5411,-0.0083,0.0000,50.73,50.73,STATIONARY
5477,-0.0097,0.0000,50.73,50.73,STATIONARY
5543,-0.0117,0.0000,50.73,50.73,STATIONARY
5609,0.0115,0.0000,50.73,50.73,STATIONARY
5675,0.0147,0.0000,50.73,50.73,STATIONARY
5741,0.0330,0.0000,50.73,50.73,STATIONARY
5807,0.0682,0.0000,50.73,50.73,STATIONARY
5873,0.0438,0.0000,50.73,50.73,STATIONARY
5939,0.0866,0.0000,50.73,50.73,STATIONARY
6005,0.0943,0.0000,50.73,50.73,STATIONARY
6071,0.1018,0.0000,50.73,50.73,STATIONARY
6137,0.0827,0.0000,50.73,50.73,STATIONARY
6203,0.1112,0.0000,56.19,54.42,STATIONARY
6269,0.1086,0.0000,56.19,55.62,STATIONARY
6335,0.1793,0.0000,56.19,56.01,STATIONARY
6401,0.0160,0.0000,56.19,56.13,STATIONARY
6467,0.0939,0.0000,56.19,56.17,STATIONARY
6534,0.1807,0.0000,63.44,61.08,STATIONARY
6599,0.0498,0.0000,63.44,62.68,STATIONARY
6665,0.0943,0.0000,63.44,63.19,STATIONARY
6731,0.0291,0.0000,63.44,63.36,STATIONARY
6797,0.0945,0.0000,63.44,63.42,STATIONARY
6863,0.0828,0.0000,63.44,63.44,STATIONARY
6929,0.1250,0.0000,86.58,79.05,STATIONARY
6995,0.1077,0.0000,86.58,84.13,STATIONARY
7061,0.0634,0.0000,86.58,85.78,STATIONARY
7127,0.0545,0.0000,86.58,86.32,STATIONARY
7193,0.1157,0.0000,94.36,91.75,STATIONARY
7259,0.1034,0.0000,94.36,93.51,STATIONARY
7325,0.0689,0.0000,94.36,94.08,STATIONARY
7391,0.0841,0.0000,94.36,94.27,STATIONARY
7457,0.0879,0.0000,94.36,94.33,STATIONARY
7523,0.0784,0.0000,94.36,94.35,STATIONARY
7589,0.0732,0.0000,94.36,94.36,STATIONARY
7655,0.0757,0.0000,94.36,94.36,STATIONARY
7721,0.0922,0.0000,94.36,94.36,STATIONARY
7787,0.0809,0.0000,94.36,94.36,STATIONARY
7853,0.0721,0.0000,94.36,94.36,STATIONARY
7919,0.0817,0.0000,94.36,94.36,STATIONARY
7985,0.0584,0.0000,94.36,94.36,STATIONARY
8051,0.0671,0.0000,94.36,94.36,STATIONARY
8117,0.0835,0.0000,94.36,94.36,STATIONARY
8183,0.0781,0.0000,94.36,94.36,STATIONARY
8249,0.0742,0.0000,94.36,94.36,STATIONARY
8315,0.0634,0.0000,94.36,94.36,STATIONARY
8381,0.0351,0.0000,94.36,94.36,STATIONARY
8447,0.0501,0.0000,94.36,94.36,STATIONARY
8513,0.1349,0.0000,94.36,94.36,STATIONARY
8579,0.2951,0.0000,94.36,94.36,STATIONARY
8645,0.1541,0.0000,94.36,94.36,STATIONARY
8711,0.0023,0.0000,94.36,94.36,STATIONARY
8777,0.1501,0.0000,94.36,94.36,STATIONARY
8843,0.1771,0.0000,94.36,94.36,STATIONARY
8909,0.1081,0.0000,94.36,94.36,STATIONARY
8975,0.0893,0.0000,94.36,94.36,STATIONARY
9041,0.2069,0.0000,100.25,98.34,STATIONARY
9107,0.2021,0.0000,100.25,99.63,STATIONARY
9173,0.1294,0.0000,100.25,100.05,STATIONARY
9239,0.2391,0.0000,151.57,134.81,STATIONARY
9305,0.3980,0.3980,177.84,163.84,STATIONARY
9371,0.3466,0.3466,200.71,188.71,STATIONARY
9437,0.3317,0.3317,222.60,211.57,STATIONARY
9503,0.4083,0.4083,249.55,237.19,STATIONARY
9569,0.4124,0.4124,276.77,263.89,UP
9635,0.4334,0.4334,305.38,291.88,UP
9701,0.4778,0.4778,336.91,322.26,UP
9767,0.4769,0.4769,368.39,353.38,UP
9833,0.4809,0.4809,400.13,384.92,UP
9899,0.5182,0.5182,434.33,418.25,UP
9965,0.5199,0.5199,468.64,452.25,UP
10031,0.5187,0.5187,502.88,486.41,UP
10097,0.5590,0.5590,539.77,522.41,UP
10163,0.5660,0.5660,577.13,559.32,UP
